name,topic,difficulty,link
Find square root of a number in log n,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/square-root/1
Find the Nth root of a number using binary search,Binary Search,Medium,https://practice.geeksforgeeks.org/problems/find-nth-root-of-m5843/1
Koko Eating Bananas,Binary Search,Medium,https://leetcode.com/problems/koko-eating-bananas/
Minimum days to make M bouquets,Binary Search,Medium,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
Find the smallest Divisor,Binary Search,Medium,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/
Capacity to Ship Packages within D Days,Binary Search,Medium,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
Kth Missing Positive Number,Binary Search,Easy,https://leetcode.com/problems/kth-missing-positive-number/
Aggressive Cows,Binary Search,Hard,https://practice.geeksforgeeks.org/problems/aggressive-cows/1
Book Allocation Problem,Binary Search,Hard,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0115/1
Split array - Largest Sum,Binary Search,Hard,https://leetcode.com/problems/split-array-largest-sum/
Painter's partition,Binary Search,Hard,https://practice.geeksforgeeks.org/problems/the-painters-partition-problem1535/1
Minimize Max Distance to Gas Station,Binary Search,Hard,https://practice.geeksforgeeks.org/problems/minimize-max-distance-to-gas-station/1
Find the row with maximum number of 1's,Binary Search,Easy,https://practice.geeksforgeeks.org/problems/row-with-max-1s0023/1
Search in a 2D matrix,Binary Search,Medium,https://leetcode.com/problems/search-a-2d-matrix/
Search in a row and column wise sorted matrix,Binary Search,Medium,https://leetcode.com/problems/search-a-2d-matrix-ii/
Find Peak Element (2D Matrix),Binary Search,Medium,https://leetcode.com/problems/find-a-peak-element-ii/
Matrix Median,Binary Search,Hard,https://practice.geeksforgeeks.org/problems/matrix-median0701/1
Kth element of 2 sorted arrays,Binary Search,Medium,https://practice.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1
Median of 2 sorted arrays,Binary Search,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/
Reverse words in a given string + Palindrome Check,Strings,Medium,https://leetcode.com/problems/reverse-words-in-a-string/
Reverse Every Word in A String,Strings,Medium,https://practice.geeksforgeeks.org/problems/reverse-words-in-a-given-string5426/1
Largest odd number in a string,Strings,Easy,https://leetcode.com/problems/largest-odd-number-in-string/
Check if two strings are anagrams of each other,Strings,Easy,https://leetcode.com/problems/valid-anagram/
Sort Characters by frequency,Strings,Medium,https://leetcode.com/problems/sort-characters-by-frequency/
Isomorphic String,Strings,Easy,https://leetcode.com/problems/isomorphic-strings/
Check whether one string is a rotation of another,Strings,Easy,https://leetcode.com/problems/rotate-string/
Longest Common Prefix,Strings,Easy,https://leetcode.com/problems/longest-common-prefix/
Roman Number to Integer and vice versa,Strings,Easy,https://leetcode.com/problems/roman-to-integer/
Implement Atoi,Strings,Medium,https://leetcode.com/problems/string-to-integer-atoi/
Count and say,Strings,Medium,https://leetcode.com/problems/count-and-say/
Remove outermost Paranthesis,Strings,Easy,https://leetcode.com/problems/remove-outermost-parentheses/
Maximum Nesting Depth of Paranthesis,Strings,Easy,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/
Minimum number of bracket reversals needed to make an expression balanced,Strings,Medium,https://practice.geeksforgeeks.org/problems/count-the-reversals0401/1
Count Number of Substrings,Strings,Medium,https://practice.geeksforgeeks.org/problems/count-number-of-substrings4528/1
Sum of Beauty of all substring,Strings,Medium,https://leetcode.com/problems/sum-of-beauty-of-all-substrings/
Longest Palindromic Substring (Do it without DP),Strings,Medium,https://leetcode.com/problems/longest-palindromic-substring/
Count palindromic subsequence in given string,Strings,Medium,https://practice.geeksforgeeks.org/problems/count-palindromic-subsequences0541/1
Rabin Karp,Strings,Hard,https://practice.geeksforgeeks.org/problems/rabin-karp-algorithm/1
KMP algo + LPS(pi) array,Strings,Hard,https://practice.geeksforgeeks.org/problems/search-pattern0205/1
Z-Function,Strings,Hard,https://practice.geeksforgeeks.org/problems/z-algorithm/1
Longest happy prefix,Strings,Hard,https://leetcode.com/problems/longest-happy-prefix/
Shortest Palindrome,Strings,Hard,https://leetcode.com/problems/shortest-palindrome/
Inserting a node in LinkedList,Linked List,Easy,https://practice.geeksforgeeks.org/problems/linked-list-insertion-1587115620/1
Deleting a node in LinkedList,Linked List,Easy,https://leetcode.com/problems/delete-node-in-a-linked-list/
Find the length of the linkedlist,Linked List,Easy,https://practice.geeksforgeeks.org/problems/count-nodes-of-linked-list/1
Search an element in the LL,Linked List,Easy,https://practice.geeksforgeeks.org/problems/search-in-linked-list-1664434726/1
Insert a node in DLL,Linked List,Easy,https://practice.geeksforgeeks.org/problems/insert-a-node-in-doubly-linked-list/1
Delete a node in DLL,Linked List,Easy,https://practice.geeksforgeeks.org/problems/delete-node-in-doubly-linked-list/1
Reverse a LinkedList (Iterative),Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/
Reverse a LL (Recursive),Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/
Reverse a DLL,Linked List,Easy,https://practice.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1
Check if LL is palindrome or not,Linked List,Easy,https://leetcode.com/problems/palindrome-linked-list/
Middle of a LinkedList (TortoiseHare Method),Linked List,Easy,https://leetcode.com/problems/middle-of-the-linked-list/
Delete the middle node of LL,Linked List,Medium,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/
Remove Nth node from the back of the LL,Linked List,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
Detect a loop in LL,Linked List,Easy,https://leetcode.com/problems/linked-list-cycle/
Length of Loop in LL,Linked List,Easy,https://practice.geeksforgeeks.org/problems/find-length-of-loop/1
Find the starting point in LL,Linked List,Medium,https://leetcode.com/problems/linked-list-cycle-ii/
Find the intersection point of Y LL,Linked List,Medium,https://leetcode.com/problems/intersection-of-two-linked-lists/
Segrregate odd and even nodes in LL,Linked List,Medium,https://leetcode.com/problems/odd-even-linked-list/
Sort LL,Linked List,Medium,https://leetcode.com/problems/sort-list/
Sort a LL of 0's 1's and 2's by changing links,Linked List,Medium,https://practice.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1
Add 1 to a number represented by LL,Linked List,Medium,https://practice.geeksforgeeks.org/problems/add-1-to-a-number-represented-as-linked-list/1
Add 2 numbers in LL,Linked List,Medium,https://leetcode.com/problems/add-two-numbers/
Delete all occurrences of a key in DLL,Linked List,Medium,https://practice.geeksforgeeks.org/problems/delete-all-occurrences-of-a-given-key-in-a-doubly-linked-list/1
Remove duplicates from sorted DLL,Linked List,Easy,https://practice.geeksforgeeks.org/problems/remove-duplicates-from-a-sorted-doubly-linked-list/1
Find pairs with given sum in DLL,Linked List,Medium,https://practice.geeksforgeeks.org/problems/find-pairs-with-given-sum-in-doubly-linked-list/1
Rotate a LL,Linked List,Medium,https://leetcode.com/problems/rotate-list/
Reverse LL in group of given size K,Linked List,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/
Flattening of LL,Linked List,Hard,https://practice.geeksforgeeks.org/problems/flattening-a-linked-list/1
Clone a Linked List with random and next pointer,Linked List,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/
"Pow(x, n)",Recursion,Medium,https://leetcode.com/problems/powx-n/
Recursive Implementation of atoi(),Recursion,Medium,https://leetcode.com/problems/string-to-integer-atoi/
Count Good numbers,Recursion,Medium,https://leetcode.com/problems/count-good-numbers/
Sort a stack using recursion,Recursion,Medium,https://practice.geeksforgeeks.org/problems/sort-a-stack/1
Reverse a stack using recursion,Recursion,Medium,https://practice.geeksforgeeks.org/problems/reverse-a-stack/1
Generate all binary strings,Recursion,Medium,https://practice.geeksforgeeks.org/problems/generate-all-binary-strings/1
Generate Parenthesis,Recursion,Medium,https://leetcode.com/problems/generate-parentheses/
Letter Combinations of a Phone number,Recursion,Medium,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
Print all subsequences (Power Set),Recursion,Medium,https://leetcode.com/problems/subsets/
Check if there exists a subsequence with sum K,Recursion,Medium,https://practice.geeksforgeeks.org/problems/subset-sum-problem2014/1
Count all subsequences with sum K,Recursion,Medium,https://practice.geeksforgeeks.org/problems/perfect-sum-problem5653/1
Subset Sum-I,Recursion,Medium,https://practice.geeksforgeeks.org/problems/subset-sums2234/1
Subset Sum-II,Recursion,Medium,https://leetcode.com/problems/subsets-ii/
Combination Sum,Recursion,Medium,https://leetcode.com/problems/combination-sum/
Combination Sum-II,Recursion,Medium,https://leetcode.com/problems/combination-sum-ii/
Combination Sum - III,Recursion,Medium,https://leetcode.com/problems/combination-sum-iii/
Palindrome Partitioning,Recursion,Medium,https://leetcode.com/problems/palindrome-partitioning/
Word Break,Recursion,Medium,https://leetcode.com/problems/word-break/
Expression Add Operators,Recursion,Hard,https://leetcode.com/problems/expression-add-operators/
Word Search,Recursion,Medium,https://leetcode.com/problems/word-search/
Rat in a Maze,Recursion,Hard,https://practice.geeksforgeeks.org/problems/rat-in-a-maze-problem/1
N Queen,Recursion,Hard,https://leetcode.com/problems/n-queens/
M Coloring Problem,Recursion,Hard,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1
Sudoku Solver,Recursion,Hard,https://leetcode.com/problems/sudoku-solver/
Check if the i-th bit is set or not,Bit Manipulation,Easy,https://practice.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1
Check if a number is odd or not,Bit Manipulation,Easy,https://practice.geeksforgeeks.org/problems/odd-or-even3618/1
Set or Unset the rightmost unset bit,Bit Manipulation,Easy,https://practice.geeksforgeeks.org/problems/set-the-rightmost-unset-bit4436/1
Check if a number is power of 2 or not,Bit Manipulation,Easy,https://leetcode.com/problems/power-of-two/
Swap two numbers,Bit Manipulation,Easy,https://practice.geeksforgeeks.org/problems/swap-two-numbers3844/1
Count the number of set bits,Bit Manipulation,Easy,https://leetcode.com/problems/number-of-1-bits/
Count number of bits to be flipped to convert A to B,Bit Manipulation,Easy,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/
Power Set (Using Bit Masking),Bit Manipulation,Medium,https://leetcode.com/problems/subsets/
Find the number that appears odd number of times,Bit Manipulation,Easy,https://leetcode.com/problems/single-number/
Find the two numbers appearing odd number of times,Bit Manipulation,Medium,https://leetcode.com/problems/single-number-iii/
Find xor of numbers from L to R,Bit Manipulation,Medium,https://practice.geeksforgeeks.org/problems/find-xor-of-numbers-from-l-to-r/1
"Divide two integers without using multiplication, division and mod operator",Bit Manipulation,Medium,https://leetcode.com/problems/divide-two-integers/
"Power(n, x)",Bit Manipulation,Medium,https://leetcode.com/problems/powx-n/
All Divisors of a Number,Math,Easy,https://practice.geeksforgeeks.org/problems/all-divisors-of-a-number/1
Print Prime Factors of a Number,Math,Easy,https://practice.geeksforgeeks.org/problems/prime-factors5058/1
Sieve of Eratosthenes,Math,Medium,https://leetcode.com/problems/count-primes/
Find Prime Factorisation of a Number using Sieve,Math,Medium,https://practice.geeksforgeeks.org/problems/prime-factorization-using-sieve/1
Implement Stack using Arrays,Stacks & Queues,Easy,https://practice.geeksforgeeks.org/problems/implement-stack-using-array/1
Implement Queue using Arrays,Stacks & Queues,Easy,https://practice.geeksforgeeks.org/problems/implement-queue-using-array/1
Implement stack using linkedlist,Stacks & Queues,Easy,https://practice.geeksforgeeks.org/problems/implement-stack-using-linked-list/1
Implement queue using linked list,Stacks & Queues,Easy,https://practice.geeksforgeeks.org/problems/implement-queue-using-linked-list/1
Implement Stack using Queue,Stacks & Queues,Easy,https://leetcode.com/problems/implement-stack-using-queues/
Implement Queue using Stack,Stacks & Queues,Easy,https://leetcode.com/problems/implement-queue-using-stacks/
Check for balanced parenthesis,Stacks & Queues,Easy,https://leetcode.com/problems/valid-parentheses/
Implement Min Stack,Stacks & Queues,Medium,https://leetcode.com/problems/min-stack/
Infix to Postfix Conversion using Stack,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/infix-to-postfix-1587115620/1
Convert Infix To Prefix Notation,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/infix-to-prefix/1
Prefix to Infix Conversion,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/prefix-to-infix-conversion/1
Prefix to Postfix Conversion,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/prefix-to-postfix-conversion/1
Postfix to Prefix Conversion,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/postfix-to-prefix-conversion/1
Postfix to Infix,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/postfix-to-infix-conversion/1
Next Greater Element,Stacks & Queues,Easy,https://leetcode.com/problems/next-greater-element-i/
Next Greater Element 2,Stacks & Queues,Medium,https://leetcode.com/problems/next-greater-element-ii/
Next Smaller Element,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/fab3dbbd2724495543c7fe55799981881515eb49/1
Number of NGEs to the right,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/number-of-nges-to-the-right/1
Stock Span Problem,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/stock-span-problem-1587115621/1
The Celebrity Problem,Stacks & Queues,Medium,https://practice.geeksforgeeks.org/problems/the-celebrity-problem/1
Asteroid Collision,Stacks & Queues,Medium,https://leetcode.com/problems/asteroid-collision/
Remove k Digits,Stacks & Queues,Medium,https://leetcode.com/problems/remove-k-digits/
Sum of subarray minimum,Stacks & Queues,Medium,https://leetcode.com/problems/sum-of-subarray-minimums/
Sum of subarray ranges,Stacks & Queues,Medium,https://leetcode.com/problems/sum-of-subarray-ranges/
Largest rectangle in a histogram,Stacks & Queues,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/
Maximal Rectangles,Stacks & Queues,Hard,https://leetcode.com/problems/maximal-rectangle/
Trapping Rainwater,Stacks & Queues,Hard,https://leetcode.com/problems/trapping-rain-water/
Sliding Window maximum,Stacks & Queues,Hard,https://leetcode.com/problems/sliding-window-maximum/
LRU Cache,Stacks & Queues,Medium,https://leetcode.com/problems/lru-cache/
LFU cache,Stacks & Queues,Hard,https://leetcode.com/problems/lfu-cache/
Longest Substring Without Repeating Characters,Sliding Window,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Max Consecutive Ones III,Sliding Window,Medium,https://leetcode.com/problems/max-consecutive-ones-iii/
Maximum point you can obtain from cards,Sliding Window,Medium,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/
Fruit Into Baskets,Sliding Window,Medium,https://leetcode.com/problems/fruit-into-baskets/
Longest Substring with At Most K Distinct Characters,Sliding Window,Hard,https://practice.geeksforgeeks.org/problems/longest-k-unique-characters-substring0853/1
Longest repeating character replacement,Sliding Window,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/
Binary subarray with sum,Sliding Window,Medium,https://leetcode.com/problems/binary-subarrays-with-sum/
Count number of nice subarrays,Sliding Window,Medium,https://leetcode.com/problems/count-number-of-nice-subarrays/
Number of substring containing all three characters,Sliding Window,Medium,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/
Subarray with k different integers,Sliding Window,Hard,https://leetcode.com/problems/subarrays-with-k-different-integers/
Minimum Window Substring,Sliding Window,Hard,https://leetcode.com/problems/minimum-window-substring/
Minimum Window Subsequence,Sliding Window,Hard,https://practice.geeksforgeeks.org/problems/minimum-window-subsequence/1
Min Heap and Max Heap Implementation,Heap,Medium,https://practice.geeksforgeeks.org/problems/operations-on-binary-min-heap/1
Check if an array represents a min-heap or not,Heap,Easy,https://practice.geeksforgeeks.org/problems/does-array-represent-heap4345/1
Convert min Heap to max Heap,Heap,Medium,https://practice.geeksforgeeks.org/problems/convert-min-heap-to-max-heap/1
Kth largest element in an array (use priority queue),Heap,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/
Kth smallest element in an array (use priority queue),Heap,Medium,https://practice.geeksforgeeks.org/problems/kth-smallest-element5615/1
Sort K sorted array,Heap,Medium,https://practice.geeksforgeeks.org/problems/nearly-sorted-1587115620/1
Connect n ropes with minimal cost,Heap,Medium,https://practice.geeksforgeeks.org/problems/minimum-cost-of-ropes-1587115620/1
Replace each array element by its corresponding rank,Heap,Easy,https://leetcode.com/problems/rank-transform-of-an-array/
K most frequent elements,Heap,Medium,https://leetcode.com/problems/top-k-frequent-elements/
Hands of Straights,Heap,Medium,https://leetcode.com/problems/hand-of-straights/
Task Scheduler,Heap,Medium,https://leetcode.com/problems/task-scheduler/
Merge M sorted Lists,Heap,Hard,https://leetcode.com/problems/merge-k-sorted-lists/
Maximum Sum Combination,Heap,Medium,https://www.interviewbit.com/problems/maximum-sum-combinations/
Kth largest element in a stream of running integers,Heap,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/
Find Median from Data Stream,Heap,Hard,https://leetcode.com/problems/find-median-from-data-stream/
Design twitter,Heap,Medium,https://leetcode.com/problems/design-twitter/
Assign Cookies,Greedy,Easy,https://leetcode.com/problems/assign-cookies/
Lemonade Change,Greedy,Easy,https://leetcode.com/problems/lemonade-change/
Greedy algorithm to find minimum number of coins,Greedy,Easy,https://practice.geeksforgeeks.org/problems/number-of-coins1824/1
Valid Parenthesis Checker,Greedy,Medium,https://leetcode.com/problems/valid-parenthesis-string/
Fractional Knapsack Problem,Greedy,Medium,https://practice.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1
Job sequencing Problem,Greedy,Medium,https://practice.geeksforgeeks.org/problems/job-sequencing-problem-1587115620/1
Program for Shortest Job First (or SJF) CPU Scheduling,Greedy,Medium,https://practice.geeksforgeeks.org/problems/shortest-job-first/1
Program for Least Recently Used (LRU) Page Replacement Algorithm,Greedy,Medium,https://practice.geeksforgeeks.org/problems/page-faults-in-lru5603/1
N meetings in one room,Greedy,Medium,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room-1587115620/1
Minimum number of platforms required for a railway,Greedy,Medium,https://practice.geeksforgeeks.org/problems/minimum-platforms-1587115620/1
Insert Interval,Greedy,Medium,https://leetcode.com/problems/insert-interval/
Merge Intervals,Greedy,Medium,https://leetcode.com/problems/merge-intervals/
Non-overlapping Intervals,Greedy,Medium,https://leetcode.com/problems/non-overlapping-intervals/
Jump Game,Greedy,Medium,https://leetcode.com/problems/jump-game/
Jump Game 2,Greedy,Medium,https://leetcode.com/problems/jump-game-ii/
Candy,Greedy,Hard,https://leetcode.com/problems/candy/
Preorder Traversal of Binary Tree,Binary Tree,Easy,https://leetcode.com/problems/binary-tree-preorder-traversal/
Inorder Traversal of Binary Tree,Binary Tree,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/
Post-order Traversal of Binary Tree,Binary Tree,Easy,https://leetcode.com/problems/binary-tree-postorder-traversal/
Level order Traversal (and spiral),Binary Tree,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/
Iterative Preorder Traversal of Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-preorder-traversal/
Iterative Inorder Traversal of Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-inorder-traversal/
Post-order Traversal of Binary Tree using 2 stack,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-postorder-traversal/
Post-order Traversal of Binary Tree using 1 stack,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-postorder-traversal/
"Preorder, Inorder, and Postorder Traversal in one Traversal",Binary Tree,Medium,https://practice.geeksforgeeks.org/problems/tree-traversal/1
Height of a Binary Tree,Binary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Check if the Binary tree is height-balanced or not,Binary Tree,Easy,https://leetcode.com/problems/balanced-binary-tree/
Diameter of Binary Tree,Binary Tree,Easy,https://leetcode.com/problems/diameter-of-binary-tree/
Maximum path sum,Binary Tree,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/
Check if two trees are identical or not,Binary Tree,Easy,https://leetcode.com/problems/same-tree/
Symmetric Binary Tree,Binary Tree,Easy,https://leetcode.com/problems/symmetric-tree/
Check for Children Sum Property,Binary Tree,Medium,https://practice.geeksforgeeks.org/problems/children-sum-parent/1
Zig Zag Traversal of Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
Boundary Traversal of Binary Tree,Binary Tree,Medium,https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1
Vertical Order Traversal of Binary Tree,Binary Tree,Hard,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/
Top View of Binary Tree,Binary Tree,Medium,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1
Bottom View of Binary Tree,Binary Tree,Medium,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1
Right & Left View of Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-right-side-view/
Maximum width of a Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/maximum-width-of-binary-tree/
Root to Node Path in Binary Tree,Binary Tree,Medium,https://www.interviewbit.com/problems/root-to-node-path/
LCA in Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
Print all the Nodes at a distance of K in a Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
Minimum time taken to BURN the Binary Tree from a Node,Binary Tree,Hard,https://practice.geeksforgeeks.org/problems/burning-tree/1
Construct Binary Tree from inorder and preorder,Binary Tree,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
Construct the Binary Tree from Postorder and Inorder Traversal,Binary Tree,Medium,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/
Serialize and deserialize Binary Tree,Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
Flatten Binary Tree to LinkedList,Binary Tree,Medium,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
Count total Nodes in a COMPLETE Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/count-complete-tree-nodes/
Morris Preorder Traversal of a Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-preorder-traversal/
Morris Inorder Traversal of a Binary Tree,Binary Tree,Medium,https://leetcode.com/problems/binary-tree-inorder-traversal/
