name,topic,difficulty,link
Serialize and Deserialize Binary Tree,Trees,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
Find Median from Data Stream,Heap / Priority Queue,Hard,https://leetcode.com/problems/find-median-from-data-stream/
Combination Sum,Backtracking,Medium,https://leetcode.com/problems/combination-sum/
Word Search,Backtracking,Medium,https://leetcode.com/problems/word-search/
Number of Islands,Graphs,Medium,https://leetcode.com/problems/number-of-islands/
Clone Graph,Graphs,Medium,https://leetcode.com/problems/clone-graph/
Pacific Atlantic Water Flow,Graphs,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/
Course Schedule,Graphs,Medium,https://leetcode.com/problems/course-schedule/
Number of Connected Components in an Undirected Graph,Graphs,Medium,https://practice.geeksforgeeks.org/problems/number-of-connected-components-in-an-undirected-graph/1
Graph Valid Tree,Graphs,Medium,https://practice.geeksforgeeks.org/problems/graph-valid-tree/1
Alien Dictionary,Graphs,Hard,https://practice.geeksforgeeks.org/problems/alien-dictionary/1
Climbing Stairs,Dynamic Programming,Easy,https://leetcode.com/problems/climbing-stairs/
Coin Change,Dynamic Programming,Medium,https://leetcode.com/problems/coin-change/
Longest Increasing Subsequence,Dynamic Programming,Medium,https://leetcode.com/problems/longest-increasing-subsequence/
Word Break,Dynamic Programming,Medium,https://leetcode.com/problems/word-break/
Combination Sum IV,Dynamic Programming,Medium,https://leetcode.com/problems/combination-sum-iv/
House Robber,Dynamic Programming,Medium,https://leetcode.com/problems/house-robber/
House Robber II,Dynamic Programming,Medium,https://leetcode.com/problems/house-robber-ii/
Decode Ways,Dynamic Programming,Medium,https://leetcode.com/problems/decode-ways/
Maximum Subarray,Dynamic Programming,Medium,https://leetcode.com/problems/maximum-subarray/
Maximum Product Subarray,Dynamic Programming,Medium,https://leetcode.com/problems/maximum-product-subarray/
Partition Equal Subset Sum,Dynamic Programming,Medium,https://leetcode.com/problems/partition-equal-subset-sum/
Unique Paths,Dynamic Programming,Medium,https://leetcode.com/problems/unique-paths/
Longest Common Subsequence,Dynamic Programming,Medium,https://leetcode.com/problems/longest-common-subsequence/
Jump Game,Dynamic Programming,Medium,https://leetcode.com/problems/jump-game/
Palindromic Substrings,Dynamic Programming,Medium,https://leetcode.com/problems/palindromic-substrings/
Insert Interval,Intervals,Medium,https://leetcode.com/problems/insert-interval/
Merge Intervals,Intervals,Medium,https://leetcode.com/problems/merge-intervals/
Non-overlapping Intervals,Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals/
Meeting Rooms,Intervals,Easy,https://practice.geeksforgeeks.org/problems/meeting-rooms/1
Meeting Rooms II,Intervals,Medium,https://practice.geeksforgeeks.org/problems/meeting-rooms-ii/1
Number of 1 Bits,Bit Manipulation,Easy,https://leetcode.com/problems/number-of-1-bits/
Counting Bits,Bit Manipulation,Easy,https://leetcode.com/problems/counting-bits/
Reverse Bits,Bit Manipulation,Easy,https://leetcode.com/problems/reverse-bits/
Missing Number,Bit Manipulation,Easy,https://leetcode.com/problems/missing-number/
Sum of Two Integers,Bit Manipulation,Medium,https://leetcode.com/problems/sum-of-two-integers/
Rotate Image,Arrays & Hashing,Medium,https://leetcode.com/problems/rotate-image/
Spiral Matrix,Arrays & Hashing,Medium,https://leetcode.com/problems/spiral-matrix/
Set Matrix Zeroes,Arrays & Hashing,Medium,https://leetcode.com/problems/set-matrix-zeroes/
Longest Palindromic Substring,Two Pointers,Medium,https://leetcode.com/problems/longest-palindromic-substring/
